date,y2,y5,y10,y30,2s5s_spread,2s5s_z,5s10s_spread,5s10s_z,10s30s_spread,10s30s_z
1979-04-11,10.153542,10.238748,10.876236,,8.520603,-1.588933,63.748790,1.244165,,
1979-04-12,10.162822,10.471524,11.067374,,30.870174,-0.556779,59.584958,0.977757,,
1979-04-17,10.143155,10.503843,11.090457,,36.068817,-0.310289,58.661326,0.895878,,
1979-04-18,10.313855,10.652636,11.251543,,33.878088,-0.390291,59.890636,0.932844,,
1979-04-19,10.362366,10.723672,11.349423,,36.130574,-0.277397,62.575111,1.048016,,
1979-04-20,10.345121,10.706429,11.280581,,36.130792,-0.266766,57.415189,0.733066,,
1979-04-23,10.375074,10.720282,11.232074,,34.520791,-0.332995,51.179120,0.361547,,
1979-04-24,10.254505,10.629027,11.196479,,37.452205,-0.197705,56.745148,0.650880,,
1979-04-25,10.376039,10.672362,11.174022,,29.632328,-0.531987,50.165948,0.244899,,
1979-04-26,10.382203,10.684771,11.187700,,30.256727,-0.492150,50.292903,0.224064,,
1979-04-27,10.261907,10.614671,11.145663,,35.276352,-0.259220,53.099227,0.369328,,
1979-04-30,9.976788,10.451599,11.102808,,47.481087,0.284272,65.120843,1.093990,,
1979-05-01,10.216319,10.546319,11.150357,,33.000012,-0.342026,60.403754,0.764683,,
1979-05-02,10.182153,10.471272,11.050398,,28.911870,-0.508626,57.912666,0.578368,,
1979-05-03,10.107688,10.379021,10.960547,,27.133287,-0.570742,58.152633,0.569270,,
1979-05-04,10.120570,10.294855,10.811924,,17.428508,-0.977093,51.706957,0.100587,,
1979-05-08,10.283466,10.399101,10.926717,,11.563482,-1.205103,52.761541,0.144475,,
1979-05-09,10.482441,10.572903,11.097454,,9.046252,-1.273336,52.455101,0.081831,,
1979-05-10,10.767094,10.834095,11.259288,,6.700115,-1.329440,42.519262,-0.769456,,
1979-05-11,10.703473,10.811245,11.238781,,10.777168,-1.112452,42.753590,-0.833162,,
1979-05-14,10.751216,10.899214,11.339922,,14.799814,-0.905597,44.070832,-0.827418,,
1979-05-15,10.859140,11.004357,11.381192,,14.521655,-0.889437,37.683495,-1.689462,,
1979-05-16,10.873586,10.994878,11.298056,,12.129197,-0.969471,30.317829,-2.823952,,
1979-05-17,10.864091,10.957820,11.251808,,9.372978,-1.065750,29.398754,-3.123425,,
1979-05-18,10.988914,11.086051,11.292185,,9.713671,-1.042714,20.613411,-3.912937,,
1979-05-21,11.069183,11.199646,11.413693,,13.046285,-0.878490,21.404718,-3.353438,,
1979-05-22,11.033139,11.186355,11.449813,,15.321626,-0.752974,26.345756,-2.542931,,
1979-05-23,10.876260,11.038670,11.275445,,16.241039,-0.693726,23.677466,-2.629104,,
1979-05-24,10.932554,11.080739,11.300860,,14.818472,-0.788597,22.012091,-2.637230,,
1979-05-25,10.979401,11.125895,11.370643,,14.649439,-0.809869,24.474785,-2.267216,,
1979-05-29,10.876003,11.104036,11.399354,,22.803349,-0.154281,29.531748,-1.735760,,
1979-05-30,10.773854,11.034863,11.373602,,26.100920,0.161072,33.873843,-1.313374,,
1979-05-31,10.810454,11.051424,11.408111,,24.096967,0.013545,35.668667,-1.138757,,
1979-06-01,10.722141,11.088124,11.513603,,36.598336,1.178136,42.547916,-0.576763,,
1979-06-04,10.876793,11.156053,11.513538,,27.926025,0.375055,35.748497,-1.097601,,
1979-06-05,10.902147,11.163286,11.508952,,26.113888,0.222357,34.566593,-1.154014,,
1979-06-06,10.928713,11.175830,11.576192,,24.711725,0.119874,40.036188,-0.687558,,
1979-06-07,10.739481,11.154420,11.693675,,41.493837,1.723425,53.925553,0.437380,,
1979-06-08,10.968348,11.212031,11.637669,,24.368265,0.090636,42.563782,-0.459665,,
1979-06-11,10.943607,11.270805,11.688852,,32.719781,0.865565,41.804743,-0.504275,,
1979-06-12,11.014708,11.288344,11.648398,,27.363566,0.372350,36.005406,-0.945484,,
1979-06-13,11.788462,11.872105,12.040843,,8.364263,-1.376155,16.873842,-2.432866,,
1979-06-14,12.030534,12.248375,12.418359,,21.784084,-0.086604,16.998432,-2.271694,,
1979-06-15,12.002159,12.234816,12.463843,,23.265653,0.070773,22.902789,-1.719794,,
1979-06-18,11.792852,12.152181,12.505272,,35.932857,1.298231,35.309169,-0.770040,,
1979-06-19,11.631507,12.031426,12.447417,,39.991951,1.668254,41.599105,-0.298990,,
1979-06-20,11.458083,11.945931,12.453305,,48.784835,2.443045,50.737353,0.367319,,
1979-06-21,11.601746,12.025249,12.473553,,42.350359,1.736861,44.830407,-0.042759,,
1979-06-22,11.708883,12.114588,12.497902,,40.570526,1.531807,38.331345,-0.497432,,
1979-06-25,11.792209,12.183534,12.549642,,39.132469,1.359713,36.610802,-0.601150,,
1979-06-26,11.629764,12.106567,12.515397,,47.680302,2.032611,40.883069,-0.276418,,
1979-06-27,11.571367,12.113346,12.523447,,54.197911,2.462822,41.010065,-0.259800,,
1979-06-28,11.531896,12.067119,12.447012,,53.522337,2.264754,37.989276,-0.471738,,
1979-06-29,11.821062,12.066923,12.269863,,24.586116,-0.072005,20.293943,-1.737329,,
1979-07-02,11.183264,11.738806,12.065893,,55.554140,2.304155,32.708731,-0.783988,,
1979-07-03,11.144893,11.622216,11.895204,,47.732269,1.593198,27.298806,-1.143174,,
1979-07-04,11.407109,11.732343,11.871162,,32.523342,0.413741,13.881903,-2.063113,,
1979-07-05,11.425710,11.727795,11.825250,,30.208471,0.216749,9.745579,-2.251691,,
1979-07-06,11.377968,11.700684,11.834863,,32.271553,0.353608,13.417910,-1.891979,,
1979-07-09,11.512299,11.836865,12.000867,,32.456646,0.343901,16.400128,-1.619929,,
1979-07-10,11.443556,11.762601,11.955541,,31.904512,0.277159,19.294077,-1.370356,,
1979-07-11,11.558015,11.849420,12.002275,,29.140512,0.032364,15.285478,-1.604959,,
1979-07-12,11.684793,11.909637,12.018933,,22.484447,-0.494167,10.929545,-1.845791,,
1979-07-13,11.867151,12.038992,12.229621,,17.184049,-0.898196,19.062903,-1.224895,,
1979-07-16,11.763854,11.968595,12.161661,,20.474130,-0.611343,19.306525,-1.172146,,
